Year,Month,Day,Hour,Minute,Sensor_ID,Normalized_Temp,Normalized_Vibration,Normalized_Pressure,Normalized_Voltage,Normalized_Current,FFT_Feature1,FFT_Feature2,Anomaly_Score,Fault_Type,Fault_Status
2015,1,5,14,31,179,0.3748543002958598,0.4284828118556852,0.41161408728279175,0.5227036310478366,0.43227104869643007,0.2773793065192027,0.4883216859555713,0.3493577087132246,1,1
2015,1,10,3,51,114,0.6441700460093117,0.2594346972317167,0.704209724379433,0.5181579924763884,0.4669018322602555,0.3043315562516632,0.8865344458211687,0.24845194072585744,1,1
2015,1,3,13,35,133,0.47389180590947944,0.5725175362541728,0.6591926335303923,0.539270301650258,0.29673581004371913,0.4321658705628831,0.2531782767021994,0.9375556192688994,1,1
2015,1,26,1,44,119,0.706811074908204,0.6061144380108427,0.7074269261206595,0.6970032689184832,0.553579742209794,0.7117769580624672,0.32929950776551514,0.5128757833482174,1,1
2015,1,29,21,32,198,0.4498528939406244,0.21832904957087573,0.2707403008560985,0.6068412958379603,0.3497553547822759,0.3811311274186376,0.7941887613579229,0.17912805465928802,1,1
2015,1,3,11,19,163,0.550258581034355,0.5713296142666898,0.7217079052866856,0.6186561610659879,0.4854055073321035,0.5343549179148148,0.3336194980799015,0.3624614517081628,1,1
2015,1,15,13,43,100,0.6866820092267167,0.47619428411303977,0.45581569398038596,0.6589251876495736,0.5065713377678474,0.47945404717186146,0.5977266382420203,0.08149404816430068,1,1
2015,1,10,20,17,166,0.5321587947418942,0.5672783584596923,0.6544159412208957,0.5727685481635321,0.5207456558355404,0.6281494628113484,0.37627390748483325,0.22660477351040717,1,1
2015,1,22,18,52,172,0.5901194604265573,0.5634687936852258,0.3794659402500376,0.7637453461842,0.4976071026251037,0.28145407353261553,0.41466031381824464,0.4131876946585492,1,1
2015,1,19,10,22,188,0.7763880795831682,0.3736445437627415,0.6208530568784314,0.42806453665356503,0.48547091778617485,0.15260551388163804,0.31104296878423005,0.8678501771690146,1,1
2015,2,24,2,49,156,0.5993265860187784,0.408372614184261,0.5175523559449128,0.4775690219993918,0.5413963517656694,0.8015238755074374,0.4471325355378133,0.6812774576571102,1,1
2015,1,2,18,29,168,0.5135095808712113,0.5500771003486215,0.5710013434617031,0.6640518984458492,0.41733095592749747,0.9100559860297328,0.49224589706075167,0.2747290769213628,1,1
2015,1,4,18,16,191,0.45361888912750087,0.5089869571632142,0.24091223699898923,0.3411511161831833,0.3148480064711929,0.27477887175913546,0.9311155799571996,0.20256860954115513,1,1
2015,1,26,16,49,193,0.5616914444173063,0.45899034116471527,0.6719691372132016,0.29391463870972195,0.302518645609974,0.13424439976555722,0.09963413764282142,0.24904035954752718,1,1
2015,1,7,18,6,178,0.36476071774805374,0.4716726294491261,0.21782304835243732,0.3702323846892374,0.3857643251453568,0.9776277594758177,0.16581583292944785,0.20636149234297665,1,1
2015,1,12,15,43,133,0.6955365492066805,0.49035553638783635,0.544454831281778,0.46937902114792945,0.508190917801746,0.5905591886515081,0.21955276318127556,0.9999261451088052,1,1
